table,field,type,rows,filled,fill_pct,distinct,categorical
Departments,(row count),table,8,8,100.0,,False
Departments,Name,str,8,8,100.0,8.0,False
Departments,Code,str,8,8,100.0,8.0,False
Departments,Location,str,8,8,100.0,4.0,True
Departments,Headcount Budget,int,8,8,100.0,8.0,False
Departments,People,link -> People,8,8,100.0,8.0,False
Departments,Job Openings,link -> Job Openings,8,8,100.0,8.0,False
People,(row count),table,14,14,100.0,,False
People,Full Name,str,14,14,100.0,14.0,False
People,Work Email,str,14,14,100.0,14.0,False
People,Role,str,14,14,100.0,3.0,True
People,Joined On,date,14,14,100.0,14.0,False
People,Department,link -> Departments,14,14,100.0,8.0,False
People,Reqs as Recruiter,link -> Job Openings,14,4,28.57,4.0,False
People,Reqs as Hiring Manager,link -> Job Openings,14,4,28.57,4.0,False
People,Applications as Recruiter,link -> Applications,14,4,28.57,4.0,False
People,Referrals Made,link -> Applications,14,12,85.71,12.0,False
People,Interviews,link -> Interviews,14,6,42.86,6.0,False
Job Openings,(row count),table,24,24,100.0,,False
Job Openings,Req ID,str,24,24,100.0,24.0,False
Job Openings,Title,str,24,24,100.0,21.0,False
Job Openings,Level,str,24,24,100.0,4.0,True
Job Openings,Employment Type,str,24,24,100.0,2.0,True
Job Openings,Location,str,24,24,100.0,4.0,True
Job Openings,Status,str,24,24,100.0,4.0,True
Job Openings,Headcount,int,24,24,100.0,3.0,False
Job Openings,Salary Band Min,int,24,24,100.0,4.0,False
Job Openings,Salary Band Max,int,24,24,100.0,4.0,False
Job Openings,Opened On,date,24,24,100.0,24.0,False
Job Openings,Target Close,date,24,24,100.0,24.0,False
Job Openings,Department,link -> Departments,24,24,100.0,8.0,False
Job Openings,Hiring Manager,link -> People,24,24,100.0,4.0,False
Job Openings,Recruiter,link -> People,24,24,100.0,4.0,False
Job Openings,Applications,link -> Applications,24,24,100.0,24.0,False
Candidates,(row count),table,300,300,100.0,,False
Candidates,Candidate ID,str,300,300,100.0,300.0,False
Candidates,Full Name,str,300,300,100.0,294.0,False
Candidates,Email,str,300,300,100.0,300.0,False
Candidates,Phone,str,300,300,100.0,294.0,False
Candidates,City,str,300,300,100.0,7.0,True
Candidates,Current Company,str,300,300,100.0,18.0,True
Candidates,Source,str,300,300,100.0,6.0,True
Candidates,Notes,str,300,237,79.0,7.0,False
Candidates,Created On,date,300,300,100.0,230.0,False
Candidates,Current CTC,int,300,300,100.0,163.0,False
Candidates,Expected CTC,int,300,300,100.0,199.0,False
Candidates,Notice Period Days,int,300,300,100.0,5.0,False
Candidates,Years Experience,float,300,300,100.0,102.0,False
Candidates,Applications,link -> Applications,300,300,100.0,300.0,False
Applications,(row count),table,350,350,100.0,,False
Applications,Application ID,str,350,350,100.0,346.0,False
Applications,Stage,str,350,350,100.0,7.0,True
Applications,Status,str,350,350,100.0,2.0,True
Applications,Rejection Reason,str,350,218,62.29,7.0,True
Applications,Applied On,date,350,350,100.0,217.0,False
Applications,Screened On,date,350,279,79.71,177.0,False
Applications,First Interview On,date,350,143,40.86,105.0,False
Applications,Final Interview On,date,350,50,14.29,43.0,False
Applications,Offered On,date,350,36,10.29,35.0,False
Applications,Closed On,date,350,245,70.0,163.0,False
Applications,Candidate,link -> Candidates,350,350,100.0,300.0,False
Applications,Opening,link -> Job Openings,350,350,100.0,24.0,False
Applications,Recruiter,link -> People,350,350,100.0,4.0,False
Applications,Referred By,link -> People,350,27,7.71,12.0,False
Applications,Interviews,link -> Interviews,350,143,40.86,143.0,False
Applications,Offers,link -> Offers,350,36,10.29,36.0,False
Interviews,(row count),table,160,160,100.0,,False
Interviews,Interview ID,str,160,160,100.0,160.0,False
Interviews,Round,str,160,160,100.0,5.0,True
Interviews,Outcome,str,160,160,100.0,4.0,True
Interviews,Recommendation,str,160,142,88.75,4.0,True
Interviews,Feedback,str,160,142,88.75,12.0,False
Interviews,Score,float,160,142,88.75,39.0,False
Interviews,Scheduled On,date,160,160,100.0,116.0,False
Interviews,Completed On,date,160,142,88.75,103.0,False
Interviews,Application,link -> Applications,160,160,100.0,143.0,False
Interviews,Interviewer,link -> People,160,160,100.0,6.0,False
Offers,(row count),table,36,36,100.0,,False
Offers,Offer ID,str,36,36,100.0,36.0,False
Offers,Status,str,36,36,100.0,3.0,True
Offers,Decline Reason,str,36,5,13.89,3.0,False
Offers,Base CTC,int,36,36,100.0,34.0,False
Offers,Joining Bonus,int,36,36,100.0,3.0,False
Offers,Offered On,date,36,36,100.0,35.0,False
Offers,Decision On,date,36,35,97.22,34.0,False
Offers,Proposed Start Date,date,36,36,100.0,34.0,False
Offers,Application,link -> Applications,36,36,100.0,36.0,False
Findings,(row count),table,0,0,,,False
