table,field,raw_value,count,pct_of_filled,4.1 case variants,"4.2 leading, trailing or repeated whitespace",4.3 synonym variants,4.4 near-duplicate spellings
Departments,Location,'Noida',4,50.0,,,,
Departments,Location,'Bengaluru',2,25.0,,,,
Departments,Location,'Remote',1,12.5,,,,
Departments,Location,'Mumbai',1,12.5,,,,
People,Role,'Interviewer',6,42.86,,,,
People,Role,'Recruiter',4,28.57,,,,
People,Role,'Hiring Manager',4,28.57,,,,
Job Openings,Level,'Senior',8,33.33,,,,
Job Openings,Level,'Junior',8,33.33,,,,
Job Openings,Level,'Mid',5,20.83,,,,
Job Openings,Level,'Lead',3,12.5,,,,
Job Openings,Employment Type,'Full-time',20,83.33,,,,
Job Openings,Employment Type,'Contract',4,16.67,,,,
Job Openings,Location,'Mumbai',8,33.33,,,,
Job Openings,Location,'Bengaluru',7,29.17,,,,
Job Openings,Location,'Noida',5,20.83,,,,
Job Openings,Location,'Remote',4,16.67,,,,
Job Openings,Status,'Open',11,45.83,,,,
Job Openings,Status,'Filled',8,33.33,,,,
Job Openings,Status,'On Hold',3,12.5,,,,
Job Openings,Status,'Cancelled',2,8.33,,,,
Candidates,City,'Pune',53,17.67,,,,
Candidates,City,'Remote',43,14.33,,,,
Candidates,City,'Mumbai',43,14.33,,,,
Candidates,City,'Hyderabad',42,14.0,,,,
Candidates,City,'Chennai',40,13.33,,,,
Candidates,City,'Bengaluru',40,13.33,,,,
Candidates,City,'Noida',39,13.0,,,,
Candidates,Current Company,'Basalt Energy',31,10.33,,,,
Candidates,Current Company,'Parable Systems',21,7.0,,,,
Candidates,Current Company,'Marigold Foods',21,7.0,,,,
Candidates,Current Company,'Meridian Health',21,7.0,,,,
Candidates,Current Company,'Silverpine Analytics',19,6.33,,,,
Candidates,Current Company,'Arcadia Retail',18,6.0,,,,
Candidates,Current Company,'Zenlytics',18,6.0,,,,
Candidates,Current Company,'Harbourline',18,6.0,,,,
Candidates,Current Company,'Bluestone Labs',18,6.0,,,,
Candidates,Current Company,'Copperfield Bank',15,5.0,,,,
Candidates,Current Company,'Quillion',15,5.0,,,,
Candidates,Current Company,'Kettle & Co',15,5.0,,,,
Candidates,Current Company,'Vantage Mobility',14,4.67,,,,
Candidates,Current Company,'Larkspur Software',13,4.33,,,,
Candidates,Current Company,'Redthread',13,4.33,,,,
Candidates,Current Company,'Northwind Telecom',12,4.0,,,,
Candidates,Current Company,'Tidewater Logistics',9,3.0,,,,
Candidates,Current Company,'Foxglove Media',9,3.0,,,,
Candidates,Source,'Job Board',191,63.67,,,,
Candidates,Source,'Agency',35,11.67,,,,
Candidates,Source,'LinkedIn',31,10.33,,,,
Candidates,Source,'Career Site',31,10.33,,,,
Candidates,Source,'Referral',8,2.67,,,,
Candidates,Source,'Campus',4,1.33,,,,
Applications,Stage,'Rejected',200,57.14,,,,
Applications,Stage,'Applied',45,12.86,,,,
Applications,Stage,'Screening',32,9.14,,,,
Applications,Stage,'Hired',26,7.43,,,,
Applications,Stage,'Interview',23,6.57,,,,
Applications,Stage,'Withdrawn',14,4.0,,,,
Applications,Stage,'Offer',10,2.86,,,,
Applications,Status,'Closed',245,70.0,,,,
Applications,Status,'Active',105,30.0,,,,
Applications,Rejection Reason,'Skills Mismatch',49,22.48,,,,
Applications,Rejection Reason,'Culture Fit',47,21.56,,,,
Applications,Rejection Reason,'Better Candidate',45,20.64,,,,
Applications,Rejection Reason,'Comp Expectation',26,11.93,,,,
Applications,Rejection Reason,'Position Cancelled',18,8.26,,,,
Applications,Rejection Reason,'No Show',18,8.26,,,,
Applications,Rejection Reason,'Withdrew',15,6.88,,,,
Interviews,Round,'Screen',74,46.25,,,,
Interviews,Round,'Technical 1',69,43.12,,,,
Interviews,Round,'Bar Raiser',7,4.38,,,,
Interviews,Round,'Hiring Manager',7,4.38,,,,
Interviews,Round,'Technical 2',3,1.88,,,,
Interviews,Outcome,'Completed',138,86.25,,,,
Interviews,Outcome,'No Show',10,6.25,,,,
Interviews,Outcome,'Cancelled',7,4.38,,,,
Interviews,Outcome,'Rescheduled',5,3.12,,,,
Interviews,Recommendation,'No Hire',48,33.8,,,,
Interviews,Recommendation,'Strong No Hire',39,27.46,,,,
Interviews,Recommendation,'Hire',34,23.94,,,,
Interviews,Recommendation,'Strong Hire',21,14.79,,,,
Offers,Status,'Accepted',26,72.22,,,,
Offers,Status,'Pending',5,13.89,,,,
Offers,Status,'Declined',5,13.89,,,,
