bucketing,channel,applications,share of applications %,applications ci95 %,hires,share of hires %,conversion,conversion %,conversion ci95 %,fisher p vs Job Board,small_n,applied on or before
B1 Source as recorded,Job Board,195,65.44,59.87-70.61,7,28.0,7/195,3.59,1.75-7.22,,False,2026-06-28
B1 Source as recorded,Agency,33,11.07,7.99-15.14,4,16.0,4/33,12.12,4.82-27.33,0.0575,False,2026-06-28
B1 Source as recorded,LinkedIn,28,9.4,6.58-13.24,3,12.0,3/28,10.71,3.71-27.2,0.1163,True,2026-06-28
B1 Source as recorded,Career Site,26,8.72,6.02-12.48,5,20.0,5/26,19.23,8.51-37.88,0.0069,True,2026-06-28
B1 Source as recorded,Referral,12,4.03,2.32-6.91,6,24.0,6/12,50.0,25.38-74.62,0.0,True,2026-06-28
B1 Source as recorded,Campus,4,1.34,0.52-3.4,0,0.0,0/4,,not reported: n < 10,,True,2026-06-28
B2 LinkedIn merged into Job Board,Job Board + LinkedIn,223,74.83,69.61-79.42,10,40.0,10/223,4.48,2.45-8.06,,False,2026-06-28
B2 LinkedIn merged into Job Board,Agency,33,11.07,7.99-15.14,4,16.0,4/33,12.12,4.82-27.33,0.0898,False,2026-06-28
B2 LinkedIn merged into Job Board,Career Site,26,8.72,6.02-12.48,5,20.0,5/26,19.23,8.51-37.88,0.0122,True,2026-06-28
B2 LinkedIn merged into Job Board,Referral,12,4.03,2.32-6.91,6,24.0,6/12,50.0,25.38-74.62,0.0,True,2026-06-28
B2 LinkedIn merged into Job Board,Campus,4,1.34,0.52-3.4,0,0.0,0/4,,not reported: n < 10,,True,2026-06-28
B3 any Referred By link counts as Referral,Job Board,179,60.07,54.41-65.47,6,24.0,6/179,3.35,1.55-7.12,,False,2026-06-28
B3 any Referred By link counts as Referral,Referral,34,11.41,8.28-15.52,9,36.0,9/34,26.47,14.6-43.12,0.0001,False,2026-06-28
B3 any Referred By link counts as Referral,Agency,30,10.07,7.14-14.01,3,12.0,3/30,10.0,3.46-25.62,0.123,False,2026-06-28
B3 any Referred By link counts as Referral,LinkedIn,28,9.4,6.58-13.24,3,12.0,3/28,10.71,3.71-27.2,0.1064,True,2026-06-28
B3 any Referred By link counts as Referral,Career Site,23,7.72,5.2-11.31,4,16.0,4/23,17.39,6.98-37.14,0.0171,True,2026-06-28
B3 any Referred By link counts as Referral,Campus,4,1.34,0.52-3.4,0,0.0,0/4,,not reported: n < 10,,True,2026-06-28
