pct,numerator,denominator,abs_diff_pp,reproduces,small_n,event,window,date_basis,unit,attribution,channel
26.92,7,26,0.02,True,True,hired: Applications.Stage = Hired,all time,none (all time),application rows,Candidates.Source as recorded,raw Source = Job Board
26.92,7,26,0.02,True,True,hired: Applications.Stage = Hired,trailing 12m to 2026-08-27,Applications.Closed On,application rows,Candidates.Source as recorded,raw Source = Job Board
26.92,7,26,0.02,True,True,hired: Applications.Stage = Hired,trailing 12m to 2026-08-27,Applications.Applied On,application rows,Candidates.Source as recorded,raw Source = Job Board
26.92,7,26,0.02,True,True,hired: Applications.Stage = Hired,trailing 12m to 2026-08-27,Offers.Decision On,application rows,Candidates.Source as recorded,raw Source = Job Board
26.92,7,26,0.02,True,True,hired: Applications.Stage = Hired,trailing 12m to 2026-09-14,Applications.Closed On,application rows,Candidates.Source as recorded,raw Source = Job Board
26.92,7,26,0.02,True,True,hired: Applications.Stage = Hired,trailing 12m to 2026-09-14,Offers.Decision On,application rows,Candidates.Source as recorded,raw Source = Job Board
26.92,7,26,0.02,True,True,offer accepted: Offers.Status = Accepted,all time,none (all time),application rows,Candidates.Source as recorded,raw Source = Job Board
26.92,7,26,0.02,True,True,offer accepted: Offers.Status = Accepted,trailing 12m to 2026-08-27,Offers.Decision On,application rows,Candidates.Source as recorded,raw Source = Job Board
26.92,7,26,0.02,True,True,offer accepted: Offers.Status = Accepted,trailing 12m to 2026-08-27,Offers.Offered On,application rows,Candidates.Source as recorded,raw Source = Job Board
26.92,7,26,0.02,True,True,offer accepted: Offers.Status = Accepted,trailing 12m to 2026-09-14,Offers.Decision On,application rows,Candidates.Source as recorded,raw Source = Job Board
26.92,7,26,0.02,True,True,offer accepted: Offers.Status = Accepted,trailing 12m to 2026-09-14,Offers.Offered On,application rows,Candidates.Source as recorded,raw Source = Job Board
27.27,3,11,0.37,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-09-14,Offers.Decision On,application rows,Candidates.Source as recorded,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-09-14,Offers.Decision On,application rows,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
