numerator,denominator,pct,abs_diff_pp,reproduces,definitions,all_time,event,window,date_basis,unit,attribution,channel
7,26,26.92,0.02,True,11,2,hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Applications.Applied On | Applications.Closed On | Offers.Decision On | Offers.Offered On | none (all time),application rows,Candidates.Source as recorded,raw Source = Job Board
3,11,27.27,0.37,False,24,0,hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted | offer extended: any Offer record,trailing 3m to 2026-09-14,Offers.Decision On | Offers.Offered On,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
6,23,26.09,0.81,False,12,2,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Applications.Applied On | Offers.Proposed Start Date | none (all time),distinct candidate record | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
5,18,27.78,0.88,False,2,0,hired: Applications.Stage = Hired,2026 YTD to 2026-09-14,Applications.Applied On,application rows,Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
7,25,28.0,1.1,False,15,3,hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Applications.Applied On | Applications.Closed On | Offers.Decision On | Offers.Offered On | Offers.Proposed Start Date | none (all time),application rows | distinct candidate+opening,Candidates.Source as recorded,raw Source = Job Board
2,7,28.57,1.67,False,8,0,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,trailing 3m to 2026-09-14,Applications.Closed On,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
6,24,25.0,1.9,False,28,5,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Applications.Applied On | Applications.Closed On | Offers.Decision On | Offers.Offered On | Offers.Proposed Start Date | none (all time),application rows | distinct candidate record | distinct candidate+opening,Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
3,12,25.0,1.9,False,32,0,hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Applications.Closed On | Offers.Decision On | Offers.Offered On,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
2,8,25.0,1.9,False,28,0,hire on a Filled opening: Stage = Hired and Opening.Status = Filled | offer accepted: Offers.Status = Accepted,2026 YTD to 2026-09-14 | trailing 3m to 2026-08-27 | trailing 3m to 2026-09-14 | trailing 6m to 2026-08-27 | trailing 6m to 2026-09-14,Applications.Closed On | Offers.Offered On,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn | bucket: Job Board + LinkedIn + Career Site
7,24,29.17,2.27,False,42,7,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted | offer extended: any Offer record,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14 | trailing 6m to 2026-08-27,Applications.Applied On | Applications.Closed On | Offers.Decision On | Offers.Offered On | Offers.Proposed Start Date | none (all time),application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
