numerator,denominator,pct,abs_diff_pp,reproduces,definitions,all_time,unit,numerator_rule,pending_rule,rescinded_rule,date_basis,window
18.0,25,72.0,0.0,True,18,1,candidates: accepted if any offer accepted | candidates: outcome of latest offer (Offered On) | offer records | persons (name+phone): accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-08-27 | Accepted and Proposed Start Date <= 2026-09-14 | Status = Accepted,Pending counted as accepted | Pending excluded | Pending with a Decision On counted as not accepted; other Pending excluded,none (no Rescinded status exists) | proxy: application carries a Rejection Reason -> excluded | proxy: offer on a Cancelled opening -> excluded | proxy: offer on a Cancelled opening -> not accepted,Applications.Offered On | Offers.Decision On | Offers.Offered On | none (all time),2026 YTD to 2026-09-14 | all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14
23.0,32,71.88,0.12,True,43,7,candidates: accepted if any offer accepted | candidates: outcome of latest offer (Offered On) | offer records,Accepted and Proposed Start Date <= 2026-08-27 | Accepted and Proposed Start Date <= 2026-09-14,Pending counted as accepted | Pending counted as not accepted | Pending excluded | Pending with a Decision On counted as not accepted; other Pending excluded,none (no Rescinded status exists) | proxy: application carries a Rejection Reason -> excluded | proxy: application carries a Rejection Reason -> not accepted,Applications.Offered On | Offers.Decision On | Offers.Offered On | none (all time),all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14
11.5,16,71.88,0.12,True,6,1,requisitions: mean of per-requisition rates,Accepted and Proposed Start Date <= 2026-09-14 | Status = Accepted,Pending counted as not accepted | Pending excluded,proxy: application carries a Rejection Reason -> not accepted | proxy: offer on a Cancelled opening -> excluded,Applications.Offered On | Offers.Decision On | Offers.Offered On | none (all time),2026 YTD to 2026-09-14 | all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14
26.0,36,72.22,0.22,True,16,4,"applications: Stage = Hired / Applications.Offered On present | applications: Stage = Hired / Stage in (Hired, Offer) | offer records",Accepted and Proposed Start Date <= 2026-09-14 | Applications.Stage = Hired | Status = Accepted,Pending counted as accepted | Pending counted as not accepted | n/a: Stage cannot separate Pending from Declined,n/a | none (no Rescinded status exists) | proxy: application carries a Rejection Reason -> not accepted,Applications.Offered On | Offers.Offered On | none (all time),all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14
13.0,18,72.22,0.22,True,30,0,candidates: accepted if any offer accepted | candidates: outcome of latest offer (Offered On) | offer records | persons (name+phone): accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-08-27 | Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,none (no Rescinded status exists) | proxy: application carries a Rejection Reason -> excluded | proxy: application carries a Rejection Reason -> not accepted | proxy: offer on a Cancelled opening -> excluded | proxy: offer on a Cancelled opening -> not accepted,Applications.Offered On | Offers.Decision On | Offers.Offered On,trailing 6m to 2026-08-27 | trailing 6m to 2026-09-14
6.5,9,72.22,0.22,True,5,0,requisitions: mean of per-requisition rates,Accepted and Proposed Start Date <= 2026-08-27,Pending excluded,none (no Rescinded status exists) | proxy: application carries a Rejection Reason -> excluded | proxy: application carries a Rejection Reason -> not accepted | proxy: offer on a Cancelled opening -> excluded | proxy: offer on a Cancelled opening -> not accepted,Offers.Decision On,trailing 3m to 2026-09-14
9.33,13,71.77,0.23,True,22,0,requisitions: mean of per-requisition rates,Accepted and Proposed Start Date <= 2026-08-27 | Status = Accepted,Pending counted as accepted | Pending counted as not accepted | Pending with a Decision On counted as not accepted; other Pending excluded,none (no Rescinded status exists) | proxy: application carries a Rejection Reason -> excluded | proxy: application carries a Rejection Reason -> not accepted | proxy: offer on a Cancelled opening -> excluded,Applications.Offered On | Offers.Decision On | Offers.Offered On,trailing 6m to 2026-08-27 | trailing 6m to 2026-09-14
21.0,29,72.41,0.41,True,44,7,candidates: accepted if any offer accepted | offer records | persons (name+phone): accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-08-27 | Accepted and Proposed Start Date <= 2026-09-14,Pending counted as accepted | Pending counted as not accepted | Pending excluded | Pending with a Decision On counted as not accepted; other Pending excluded,proxy: application carries a Rejection Reason -> excluded | proxy: application carries a Rejection Reason -> not accepted | proxy: offer on a Cancelled opening -> excluded | proxy: offer on a Cancelled opening -> not accepted,Applications.Offered On | Offers.Decision On | Offers.Offered On | none (all time),2026 YTD to 2026-09-14 | all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14
12.17,17,71.59,0.41,True,8,1,requisitions: mean of per-requisition rates,Accepted and Proposed Start Date <= 2026-08-27 | Accepted and Proposed Start Date <= 2026-09-14,Pending counted as accepted | Pending counted as not accepted,proxy: application carries a Rejection Reason -> excluded | proxy: offer on a Cancelled opening -> not accepted,Applications.Offered On | Offers.Decision On | Offers.Offered On | none (all time),2026 YTD to 2026-09-14 | all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14
25.0,35,71.43,0.57,False,11,1,offer records,Accepted and Proposed Start Date <= 2026-09-14,Pending counted as accepted | Pending counted as not accepted | Pending with a Decision On counted as not accepted; other Pending excluded,none (no Rescinded status exists) | proxy: application carries a Rejection Reason -> not accepted,Applications.Offered On | Offers.Decision On | Offers.Offered On | none (all time),all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14
20.0,28,71.43,0.57,False,32,4,candidates: accepted if any offer accepted | candidates: outcome of latest offer (Offered On) | offer records | persons (name+phone): accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-08-27 | Status = Accepted,Pending counted as accepted | Pending counted as not accepted | Pending excluded | Pending with a Decision On counted as not accepted; other Pending excluded,none (no Rescinded status exists) | proxy: application carries a Rejection Reason -> excluded | proxy: application carries a Rejection Reason -> not accepted | proxy: offer on a Cancelled opening -> not accepted,Applications.Offered On | Offers.Decision On | Offers.Offered On | none (all time),2026 YTD to 2026-09-14 | all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14
15.0,21,71.43,0.57,False,22,0,candidates: accepted if any offer accepted | candidates: outcome of latest offer (Offered On) | offer records | persons (name+phone): accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-08-27 | Accepted and Proposed Start Date <= 2026-09-14 | Status = Accepted,Pending counted as not accepted | Pending excluded | Pending with a Decision On counted as not accepted; other Pending excluded,none (no Rescinded status exists) | proxy: application carries a Rejection Reason -> excluded | proxy: offer on a Cancelled opening -> excluded | proxy: offer on a Cancelled opening -> not accepted,Applications.Offered On | Offers.Decision On | Offers.Offered On,2026 YTD to 2026-09-14 | trailing 6m to 2026-08-27 | trailing 6m to 2026-09-14
10.0,14,71.43,0.57,False,48,0,candidates: accepted if any offer accepted | candidates: outcome of latest offer (Offered On) | offer records | persons (name+phone): accepted if any offer accepted | requisitions: mean of per-requisition rates | requisitions: share with >=1 accepted offer,Accepted and Proposed Start Date <= 2026-08-27 | Accepted and Proposed Start Date <= 2026-09-14 | Status = Accepted,Pending counted as not accepted | Pending excluded | Pending with a Decision On counted as not accepted; other Pending excluded,none (no Rescinded status exists) | proxy: application carries a Rejection Reason -> excluded | proxy: application carries a Rejection Reason -> not accepted | proxy: offer on a Cancelled opening -> excluded | proxy: offer on a Cancelled opening -> not accepted,Applications.Offered On | Offers.Decision On | Offers.Offered On,2026 YTD to 2026-09-14 | trailing 3m to 2026-08-27 | trailing 6m to 2026-08-27 | trailing 6m to 2026-09-14
10.17,14,72.64,0.64,False,2,0,requisitions: mean of per-requisition rates,Accepted and Proposed Start Date <= 2026-08-27,Pending with a Decision On counted as not accepted; other Pending excluded,proxy: application carries a Rejection Reason -> excluded,Applications.Offered On | Offers.Offered On,2026 YTD to 2026-09-14
24.0,33,72.73,0.73,False,10,2,offer records,Accepted and Proposed Start Date <= 2026-08-27 | Status = Accepted,Pending counted as accepted | Pending counted as not accepted,proxy: application carries a Rejection Reason -> excluded,Applications.Offered On | Offers.Offered On | none (all time),all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14
16.0,22,72.73,0.73,False,57,0,candidates: accepted if any offer accepted | candidates: outcome of latest offer (Offered On) | persons (name+phone): accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-08-27 | Accepted and Proposed Start Date <= 2026-09-14,Pending counted as accepted | Pending excluded,none (no Rescinded status exists) | proxy: application carries a Rejection Reason -> excluded | proxy: application carries a Rejection Reason -> not accepted | proxy: offer on a Cancelled opening -> not accepted,Applications.Offered On | Offers.Decision On | Offers.Offered On,2026 YTD to 2026-09-14 | trailing 6m to 2026-08-27 | trailing 6m to 2026-09-14
